GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
74e7e038-6661-4805-bd34-770bde654bf7,1,2eb27680-ddb9-11ee-888d-4b414bedee82,f2faf5dd-6e6e-4ad4-b8ec-4e1a7a59b849,2024-03-08,20:03:11.15,2024-03-09,02:03:11.15,2024-03-08T20:03:11.1521880-06:00,2024-03-09T02:03:11.1521880Z,LSU_TIG,XAV_MUS,BallCalled,Undefined,NoShift,89.15247,61.33483,152.62417,8.16364,68.63305,-48.01871,136.99168,-48.53057,268.89732,-112.24041,299.59655,18.67305,218.92115,121.76872,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,2,365bacd0-ddb9-11ee-888d-4b414bedee82,9207a92b-7396-488a-82fd-a87f64af8f86,2024-03-08,20:03:23.97,2024-03-09,02:03:23.97,2024-03-08T20:03:23.9780952-06:00,2024-03-09T02:03:23.9780952Z,LSU_TIG,XAV_MUS,StrikeSwinging,Undefined,NoShift,89.89777,61.61369,153.19712,12.05547,73.12753,-52.06763,137.4528,-48.15886,267.8068,-111.81238,302.61276,15.54546,219.15248,123.18762,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,3,3ec748c0-ddb9-11ee-888d-4b414bedee82,05629d18-f153-4a80-87f9-08fe17a2bcfe,2024-03-08,20:03:38.12,2024-03-09,02:03:38.12,2024-03-08T20:03:38.1288024-06:00,2024-03-09T02:03:38.1288024Z,LSU_TIG,XAV_MUS,StrikeSwinging,Undefined,NoShift,92.39031,61.77882,152.11527,20.52079,75.34769,-53.14839,139.67272,-45.52722,267.8533,-110.88173,305.20922,17.49626,224.32565,121.36778,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,4,488a5e60-ddb9-11ee-888d-4b414bedee82,a3681ada-d1c4-4455-97e1-f1f3b01f68fe,2024-03-08,20:03:54.46,2024-03-09,02:03:54.46,2024-03-08T20:03:54.4690000-06:00,2024-03-09T02:03:54.4690000Z,LSU_TIG,XAV_MUS,StrikeSwinging,Undefined,NoShift,91.45267,62.5535,151.90342,28.09434,86.90779,-67.55927,139.0047,-48.22276,268.12445,-106.86841,300.34,25.38351,210.83433,123.8986,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,5,59adba70-ddb9-11ee-888d-4b414bedee82,7ce381d9-c965-4e8a-8826-15ee7e2feb43,2024-03-08,20:04:23.22,2024-03-09,02:04:23.22,2024-03-08T20:04:23.2216664-06:00,2024-03-09T02:04:23.2216664Z,LSU_TIG,XAV_MUS,BallCalled,Undefined,NoShift,93.21309,81.73907,138.67158,58.88126,96.00087,-52.3958,151.22128,-17.39028,238.65083,-123.25921,305.00064,-14.12919,262.52629,104.75033,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,6,618ad200-ddb9-11ee-888d-4b414bedee82,aa8efd75-40ea-4bb7-bd41-0b16a3c509a3,2024-03-08,20:04:36.44,2024-03-09,02:04:36.44,2024-03-08T20:04:36.4434520-06:00,2024-03-09T02:04:36.4434520Z,LSU_TIG,XAV_MUS,StrikeCalled,Undefined,NoShift,93.11723,82.67122,136.81355,58.34032,93.18638,-58.6936,150.26277,-18.73636,240.43155,-122.6002,303.82904,-15.83611,260.50934,100.78672,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,7,6a55cc00-ddb9-11ee-888d-4b414bedee82,96a615a2-c306-45ee-b264-127577161c50,2024-03-08,20:04:51.13,2024-03-09,02:04:51.13,2024-03-08T20:04:51.1370328-06:00,2024-03-09T02:04:51.1370328Z,LSU_TIG,XAV_MUS,BallCalled,Undefined,NoShift,93.72014,82.88912,134.70193,61.49686,84.00256,-48.37428,152.12468,-18.67053,240.29841,-122.6764,305.37892,-16.61177,251.7541,99.46273,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,8,734cb800-ddb9-11ee-888d-4b414bedee82,d10ce08c-4f7e-4740-b189-ac7851c2d160,2024-03-08,20:05:06.16,2024-03-09,02:05:06.16,2024-03-08T20:05:06.1681240-06:00,2024-03-09T02:05:06.1681240Z,LSU_TIG,XAV_MUS,BallCalled,Undefined,NoShift,93.62341,82.06623,134.32544,61.57271,88.76925,-50.8014,151.83895,-19.08447,239.25262,-122.52498,303.65228,-16.56927,255.26407,99.51253,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,9,7c2b6110-ddb9-11ee-888d-4b414bedee82,d09aff5d-7214-4912-89d8-d1b49550ec4f,2024-03-08,20:05:21.13,2024-03-09,02:05:21.13,2024-03-08T20:05:21.1357784-06:00,2024-03-09T02:05:21.1357784Z,LSU_TIG,XAV_MUS,InPlay,Out,NoShift,92.75482,80.3676,133.77292,62.39514,99.04954,-55.49467,151.08488,-17.11589,239.04703,-122.41363,299.52175,-16.79801,254.48523,103.31832,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,10,93c566e0-ddb9-11ee-888d-4b414bedee82,0554a9cb-8bfc-4b39-b806-12ee31f43733,2024-03-08,20:06:00.71,2024-03-09,02:06:00.71,2024-03-08T20:06:00.7130712-06:00,2024-03-09T02:06:00.7130712Z,LSU_TIG,XAV_MUS,FoulBallNotFieldable,Undefined,NoShift,89.20453,61.64491,145.22007,43.99398,84.30181,-62.93449,140.7756,-43.39988,269.19526,-108.15263,296.01172,20.50619,223.48508,122.78007,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,11,9eda02c0-ddb9-11ee-888d-4b414bedee82,b1a0d2fb-6661-4627-861d-83a586f88378,2024-03-08,20:06:19.28,2024-03-09,02:06:19.28,2024-03-08T20:06:19.2816216-06:00,2024-03-09T02:06:19.2816216Z,LSU_TIG,XAV_MUS,FoulBallNotFieldable,Undefined,NoShift,94.0525,64.87363,144.49604,44.4385,84.9376,-65.31982,143.0414,-42.14328,269.47721,-108.2962,296.58435,21.04081,226.63398,120.96734,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,12,abdcb300-ddb9-11ee-888d-4b414bedee82,91e833a3-5bff-4942-8662-b0b9220268be,2024-03-08,20:06:41.14,2024-03-09,02:06:41.14,2024-03-08T20:06:41.1405400-06:00,2024-03-09T02:06:41.1405400Z,LSU_TIG,XAV_MUS,FoulBallNotFieldable,Undefined,NoShift,91.59339,64.63208,144.64351,45.78418,89.98722,-70.4152,141.85572,-44.82812,267.61787,-105.48698,293.65362,23.82969,221.85983,123.44238,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,13,b70c29e0-ddb9-11ee-888d-4b414bedee82,f7005f5c-92b0-4c2a-82e5-c0f99b802aaa,2024-03-08,20:06:59.88,2024-03-09,02:06:59.88,2024-03-08T20:06:59.8802520-06:00,2024-03-09T02:06:59.8802520Z,LSU_TIG,XAV_MUS,BallCalled,Undefined,NoShift,92.51732,71.8699,142.23689,51.32985,88.11753,-69.83776,141.20122,-46.66052,268.40894,-106.31036,296.66651,28.39582,225.56569,124.07393,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,14,c01f7780-ddb9-11ee-888d-4b414bedee82,97d00fd7-d2a4-42c5-aa54-98e9c5f77af2,2024-03-08,20:07:15.11,2024-03-09,02:07:15.11,2024-03-08T20:07:15.1139416-06:00,2024-03-09T02:07:15.1139416Z,LSU_TIG,XAV_MUS,InPlay,Out,NoShift,91.24731,71.08845,141.05345,51.11251,87.27131,-68.21323,138.95618,-45.65718,269.54307,-104.9242,300.23381,29.75064,221.47483,121.68456,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,15,1b9e2a70-ddba-11ee-888d-4b414bedee82,8ffd1a79-9793-4c45-83cf-b7c0f1ec873c,2024-03-08,20:09:48.60,2024-03-09,02:09:48.60,2024-03-08T20:09:48.6077016-06:00,2024-03-09T02:09:48.6077016Z,XAV_MUS,LSU_TIG,StrikeCalled,Undefined,NoShift,88.34471,61.46144,147.34248,24.55237,80.44484,-47.92606,150.7473,-32.87116,243.65728,-159.46284,302.38399,-12.65788,252.76329,132.91212,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,16,248e86c0-ddba-11ee-888d-4b414bedee82,14e57ddd-1e34-422d-8af0-c37bed767ee8,2024-03-08,20:10:03.60,2024-03-09,02:10:03.60,2024-03-08T20:10:03.6099160-06:00,2024-03-09T02:10:03.6099160Z,XAV_MUS,LSU_TIG,BallCalled,Undefined,NoShift,88.39378,62.65522,147.84564,25.31794,86.85964,-52.90503,149.63675,-32.17685,240.23249,-155.24642,301.4956,-26.24936,262.15127,120.91366,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,17,2c6b5030-ddba-11ee-888d-4b414bedee82,6a7b165c-822a-43b2-a85c-5e9e44448cf6,2024-03-08,20:10:16.80,2024-03-09,02:10:16.80,2024-03-08T20:10:16.8009304-06:00,2024-03-09T02:10:16.8009304Z,XAV_MUS,LSU_TIG,StrikeCalled,Undefined,NoShift,90.75316,62.63971,150.19775,26.68733,90.93608,-60.60789,147.3297,-32.60591,246.28288,-152.39834,305.63265,-25.85258,263.8594,121.84789,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,18,34930550-ddba-11ee-888d-4b414bedee82,e2956214-a67f-407c-b59a-5a02626a1be2,2024-03-08,20:10:30.47,2024-03-09,02:10:30.47,2024-03-08T20:10:30.4770648-06:00,2024-03-09T02:10:30.4770648Z,XAV_MUS,LSU_TIG,FoulBallNotFieldable,Undefined,NoShift,90.7959,63.03794,149.17889,26.9477,92.93147,-64.48864,148.70567,-33.22217,243.22062,-147.58876,304.75767,-21.4994,263.37957,123.64921,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,19,42dd9ee0-ddba-11ee-888d-4b414bedee82,88874f5d-9fc2-4d84-9755-e0424481d4ca,2024-03-08,20:10:54.42,2024-03-09,02:10:54.42,2024-03-08T20:10:54.4279128-06:00,2024-03-09T02:10:54.4279128Z,XAV_MUS,LSU_TIG,FoulBallNotFieldable,Undefined,NoShift,89.04349,62.21215,148.92168,27.98665,93.29502,-60.79362,147.85737,-34.24058,242.36564,-147.33798,300.72917,-19.62895,260.41126,125.11715,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,20,50784960-ddba-11ee-888d-4b414bedee82,61197859-59d8-44e0-aa08-ec066159dbb2,2024-03-08,20:11:17.22,2024-03-09,02:11:17.22,2024-03-08T20:11:17.2291160-06:00,2024-03-09T02:11:17.2291160Z,XAV_MUS,LSU_TIG,BallCalled,Undefined,NoShift,87.04546,61.98698,148.20327,28.96617,95.20928,-60.9359,147.08738,-35.2045,242.38614,-145.56094,302.02875,-18.20379,260.16022,123.35529,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,21,58874660-ddba-11ee-888d-4b414bedee82,1d60152b-45f9-4c75-8947-c3e1d0e5eca3,2024-03-08,20:11:30.82,2024-03-09,02:11:30.82,2024-03-08T20:11:30.8236376-06:00,2024-03-09T02:11:30.8236376Z,XAV_MUS,LSU_TIG,FoulBallNotFieldable,Undefined,NoShift,85.96641,60.69398,149.0662,28.42968,96.05162,-61.82253,147.08579,-34.67334,242.87087,-145.11842,304.65376,-19.80966,265.29355,126.75169,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,22,6724e1f0-ddba-11ee-888d-4b414bedee82,3fb425db-94fd-4af9-8136-8e45461652f2,2024-03-08,20:11:55.32,2024-03-09,02:11:55.32,2024-03-08T20:11:55.3265240-06:00,2024-03-09T02:11:55.3265240Z,XAV_MUS,LSU_TIG,BallCalled,Undefined,NoShift,88.1786,60.83317,152.31071,29.98829,99.13704,-59.56104,146.0218,-38.3885,244.5971,-147.67557,304.87667,-22.10855,266.99987,127.31228,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,23,7030b580-ddba-11ee-888d-4b414bedee82,630be845-124d-466f-84dd-a5b04691488d,2024-03-08,20:12:10.50,2024-03-09,02:12:10.50,2024-03-08T20:12:10.5010000-06:00,2024-03-09T02:12:10.5010000Z,XAV_MUS,LSU_TIG,StrikeCalled,Undefined,NoShift,87.25733,60.57454,148.92046,30.46566,99.30932,-60.22037,145.08463,-38.76307,242.40107,-150.88862,308.86627,-21.24763,266.84635,128.25931,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,24,855d3dc0-ddba-11ee-888d-4b414bedee82,221dd9a8-7598-4010-854d-daa5c59e42c6,2024-03-08,20:12:46.03,2024-03-09,02:12:46.03,2024-03-08T20:12:46.0374616-06:00,2024-03-09T02:12:46.0374616Z,XAV_MUS,LSU_TIG,FoulBallNotFieldable,Undefined,NoShift,86.13752,66.22947,137.11485,59.58346,71.08985,-46.22875,151.35342,-27.4776,231.31787,-136.98445,300.44181,-22.32014,263.03746,130.56295,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,25,902a2240-ddba-11ee-888d-4b414bedee82,5c819bdc-cd3d-43dd-b1cc-48bfbf6fd2b0,2024-03-08,20:13:04.16,2024-03-09,02:13:04.16,2024-03-08T20:13:04.1655896-06:00,2024-03-09T02:13:04.1655896Z,XAV_MUS,LSU_TIG,InPlay,Single,NoShift,88.82678,71.65369,137.59909,59.5013,73.50142,-46.3305,151.90819,-27.81393,233.54668,-137.50758,297.72718,-22.77699,262.59912,132.27922,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,26,ac01aab0-ddba-11ee-888d-4b414bedee82,761ca0fb-bcdd-4586-8487-eea4323d275f,2024-03-08,20:13:50.82,2024-03-09,02:13:50.82,2024-03-08T20:13:50.8216920-06:00,2024-03-09T02:13:50.8216920Z,XAV_MUS,LSU_TIG,BallCalled,Undefined,NoShift,64.41665,58.61484,142.56923,22.85327,88.68132,-66.70295,143.82252,-38.53726,272.06191,-116.74732,321.58886,21.03416,264.84167,137.96104,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,27,b61ec730-ddba-11ee-888d-4b414bedee82,d02b4c36-4bdf-4215-8ef3-95ff92924d0e,2024-03-08,20:14:07.73,2024-03-09,02:14:07.73,2024-03-08T20:14:07.7388376-06:00,2024-03-09T02:14:07.7388376Z,XAV_MUS,LSU_TIG,BallCalled,Undefined,NoShift,63.89458,58.95768,141.21041,23.90609,89.38714,-65.48776,145.28471,-37.22957,275.45989,-110.64526,320.20494,21.72536,262.10413,137.40734,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,28,bec8cbb0-ddba-11ee-888d-4b414bedee82,a13da41e-f920-44be-80a7-bcb588c12e7b,2024-03-08,20:14:22.36,2024-03-09,02:14:22.36,2024-03-08T20:14:22.3661144-06:00,2024-03-09T02:14:22.3661144Z,XAV_MUS,LSU_TIG,InPlay,Single,NoShift,63.04835,58.84512,141.14594,24.26715,91.25611,-67.24965,146.46347,-38.70268,275.51636,-110.27575,322.19585,22.84166,264.06921,136.34893,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,29,db8731b0-ddba-11ee-888d-4b414bedee82,03908695-097c-4a9e-ac42-d37424b5394c,2024-03-08,20:15:09.87,2024-03-09,02:15:09.87,2024-03-08T20:15:09.8763864-06:00,2024-03-09T02:15:09.8763864Z,XAV_MUS,LSU_TIG,BallCalled,Undefined,NoShift,86.64887,69.50073,131.73749,47.07218,86.0765,-56.70529,151.86535,-17.01354,263.24986,-115.07207,312.04908,14.99654,266.77572,132.71086,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,30,e48a2ba0-ddba-11ee-888d-4b414bedee82,a3eac679-e547-40ab-9b35-eeb2db90d80c,2024-03-08,20:15:25.77,2024-03-09,02:15:25.77,2024-03-08T20:15:25.7777752-06:00,2024-03-09T02:15:25.7777752Z,XAV_MUS,LSU_TIG,InPlay,Double,NoShift,87.51289,69.91021,130.96977,48.57915,87.74644,-57.48441,153.36129,-14.61159,259.3524,-114.42472,307.62923,15.24375,259.99684,132.12597,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,31,06820070-ddbb-11ee-888d-4b414bedee82,4f2b958e-3c22-488d-bd82-edf8358be6b2,2024-03-08,20:16:22.64,2024-03-09,02:16:22.64,2024-03-08T20:16:22.6453592-06:00,2024-03-09T02:16:22.6453592Z,XAV_MUS,LSU_TIG,BallCalled,Undefined,NoShift,85.83716,59.96466,146.39171,27.85782,79.77989,-62.04869,143.04634,-42.84634,260.29451,-130.85578,315.77001,-21.38696,255.38385,128.44329,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,32,0f20ba50-ddbb-11ee-888d-4b414bedee82,f311afb9-bae0-4d25-ac5e-a288618474aa,2024-03-08,20:16:37.09,2024-03-09,02:16:37.09,2024-03-08T20:16:37.0914904-06:00,2024-03-09T02:16:37.0914904Z,XAV_MUS,LSU_TIG,StrikeCalled,Undefined,NoShift,91.07364,64.25561,149.37691,29.65286,79.91573,-59.67864,145.00329,-42.45544,252.79857,-136.24504,316.92424,-22.37516,257.10483,129.44366,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,33,17587500-ddbb-11ee-888d-4b414bedee82,0857bafc-4a6e-4b34-b20e-a2e1938368c1,2024-03-08,20:16:50.94,2024-03-09,02:16:50.94,2024-03-08T20:16:50.9488728-06:00,2024-03-09T02:16:50.9488728Z,XAV_MUS,LSU_TIG,StrikeCalled,Undefined,NoShift,90.59068,63.56454,156.20121,15.70946,78.11759,-57.76168,141.21658,-47.54266,252.22484,-134.8962,313.94417,-21.0957,257.33287,129.87122,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,34,20f2a5e0-ddbb-11ee-888d-4b414bedee82,7642ce31-481d-4cb6-8446-fd8a64bef463,2024-03-08,20:17:07.05,2024-03-09,02:17:07.05,2024-03-08T20:17:07.0506584-06:00,2024-03-09T02:17:07.0506584Z,XAV_MUS,LSU_TIG,BallCalled,Undefined,NoShift,87.98292,63.29635,151.91912,15.97158,77.73531,-57.29638,141.7163,-47.57974,255.86839,-136.50242,316.40093,-21.4244,259.54691,130.37527,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,35,2aa010a0-ddbb-11ee-888d-4b414bedee82,df10a043-b607-4971-aa43-6010dafed8fb,2024-03-08,20:17:22.93,2024-03-09,02:17:22.93,2024-03-08T20:17:22.9396056-06:00,2024-03-09T02:17:22.9396056Z,XAV_MUS,LSU_TIG,InPlay,Out,NoShift,90.83404,63.70737,153.51165,15.73735,77.09391,-56.64376,140.98918,-48.53256,257.63239,-136.96545,309.13057,-19.44433,256.90995,133.4833,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,36,45191a80-ddbb-11ee-888d-4b414bedee82,7a98ec6e-5683-491f-a876-dc1cee674f33,2024-03-08,20:18:07.72,2024-03-09,02:18:07.72,2024-03-08T20:18:07.7227096-06:00,2024-03-09T02:18:07.7227096Z,XAV_MUS,LSU_TIG,BallCalled,Undefined,NoShift,90.92704,65.96139,146.76177,44.68718,78.78928,-53.01979,147.53601,-34.16772,249.12333,-130.04764,303.11205,-21.59907,272.57875,126.33441,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,37,4dfa5ba0-ddbb-11ee-888d-4b414bedee82,f1bbbf4a-e8b0-42d0-8e44-793a650361ca,2024-03-08,20:18:22.60,2024-03-09,02:18:22.60,2024-03-08T20:18:22.6042968-06:00,2024-03-09T02:18:22.6042968Z,XAV_MUS,LSU_TIG,InPlay,Out,NoShift,88.9117,65.9957,145.62079,44.68741,78.90091,-54.10455,147.98866,-32.94383,250.00023,-130.31222,301.29141,-21.60895,274.32221,130.15914,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,38,a3155090-ddbb-11ee-888d-4b414bedee82,8104c7d2-2233-4c32-bd3b-3daa6d917ccf,2024-03-08,20:20:45.38,2024-03-09,02:20:45.38,2024-03-08T20:20:45.3836376-06:00,2024-03-09T02:20:45.3836376Z,LSU_TIG,XAV_MUS,FoulBallNotFieldable,Undefined,NoShift,89.38565,64.56059,153.72454,11.3981,81.22732,-58.71842,140.24298,-47.27812,263.92103,-128.6716,303.12848,-7.80713,243.94715,117.83739,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,39,b394a470-ddbb-11ee-888d-4b414bedee82,c1880f5d-cee3-4b0b-a213-b3e876f56e4b,2024-03-08,20:21:13.06,2024-03-09,02:21:13.06,2024-03-08T20:21:13.0621016-06:00,2024-03-09T02:21:13.0621016Z,LSU_TIG,XAV_MUS,BallCalled,Undefined,NoShift,90.99056,69.69876,151.77255,25.3002,86.70722,-66.43396,140.70371,-46.81853,258.65208,-125.17666,304.30809,-6.11304,248.15844,123.68526,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,40,bbf73fb0-ddbb-11ee-888d-4b414bedee82,755d4e38-ae47-4b34-981f-f828b43875b6,2024-03-08,20:21:27.14,2024-03-09,02:21:27.14,2024-03-08T20:21:27.1413336-06:00,2024-03-09T02:21:27.1413336Z,LSU_TIG,XAV_MUS,StrikeCalled,Undefined,NoShift,91.69892,71.43271,151.06279,28.87826,87.63502,-68.73721,142.91366,-47.7483,259.53482,-125.5386,303.91112,-6.56388,250.31698,121.50499,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,41,c69aa330-ddbb-11ee-888d-4b414bedee82,269c56b8-ec2c-4024-aaa3-643210fba159,2024-03-08,20:21:44.94,2024-03-09,02:21:44.94,2024-03-08T20:21:44.9460000-06:00,2024-03-09T02:21:44.9460000Z,LSU_TIG,XAV_MUS,StrikeSwinging,Undefined,NoShift,92.18338,70.26417,151.69215,29.90375,87.84564,-68.10369,140.17156,-47.03554,266.50893,-115.36261,294.21719,14.70635,227.86047,124.04817,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,42,d6c399b0-ddbb-11ee-888d-4b414bedee82,5faeabfb-4b24-4428-ab4d-84dbcd93c5ac,2024-03-08,20:22:12.01,2024-03-09,02:22:12.01,2024-03-08T20:22:12.0185944-06:00,2024-03-09T02:22:12.0185944Z,LSU_TIG,XAV_MUS,BallCalled,Undefined,NoShift,92.88443,71.23065,153.97902,11.77995,86.077,-65.29049,137.24495,-50.68854,266.56896,-111.56898,305.18861,15.82553,232.86487,129.43473,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,43,e463c270-ddbb-11ee-888d-4b414bedee82,3bee1051-f3a9-420c-be0a-da7876a1b5f5,2024-03-08,20:22:34.96,2024-03-09,02:22:34.96,2024-03-08T20:22:34.9643864-06:00,2024-03-09T02:22:34.9643864Z,LSU_TIG,XAV_MUS,StrikeCalled,Undefined,NoShift,93.12078,71.96695,154.92521,12.26202,87.59012,-69.14787,139.20086,-50.31845,265.11953,-111.14336,307.93433,18.43079,225.86809,129.11202,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,44,ed228770-ddbb-11ee-888d-4b414bedee82,71c95639-4336-4349-8164-ef3446347cc6,2024-03-08,20:22:49.67,2024-03-09,02:22:49.67,2024-03-08T20:22:49.6761432-06:00,2024-03-09T02:22:49.6761432Z,LSU_TIG,XAV_MUS,InPlay,Out,NoShift,92.66055,71.9612,154.09998,12.85982,86.85603,-66.82534,138.85362,-51.16413,266.87741,-111.214,305.77308,18.25267,227.20341,130.36094,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,45,0164d6c0-ddbc-11ee-888d-4b414bedee82,105be2ad-6e9a-4fc2-9c92-9d4cce10d691,2024-03-08,20:23:23.59,2024-03-09,02:23:23.59,2024-03-08T20:23:23.5975256-06:00,2024-03-09T02:23:23.5975256Z,LSU_TIG,XAV_MUS,BallCalled,Undefined,NoShift,89.64177,66.09074,151.33811,30.73085,71.80441,-50.03866,140.56942,-42.75522,265.3001,-109.16643,299.44276,14.21094,228.55615,131.56825,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,46,093432b0-ddbc-11ee-888d-4b414bedee82,b742e8bc-0b79-400e-9c8d-31e8c6b6e2f7,2024-03-08,20:23:36.73,2024-03-09,02:23:36.73,2024-03-08T20:23:36.7355480-06:00,2024-03-09T02:23:36.7355480Z,LSU_TIG,XAV_MUS,HitByPitch,Undefined,NoShift,90.93214,65.9274,148.55805,41.48201,75.78466,-52.30788,146.21127,-34.81519,265.57594,-109.51727,303.65448,16.68821,226.15752,130.45339,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,47,273ad020-ddbc-11ee-888d-4b414bedee82,290328e6-f8fd-46c1-96f6-45e130fbe7f5,2024-03-08,20:24:27.06,2024-03-09,02:24:27.06,2024-03-08T20:24:27.0610008-06:00,2024-03-09T02:24:27.0610008Z,LSU_TIG,XAV_MUS,StrikeSwinging,Undefined,NoShift,62.79446,59.10203,149.73492,25.05451,80.38966,-59.27584,141.67033,-45.89255,268.36268,-110.80619,302.9129,15.31118,224.03423,128.7571,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,48,32979890-ddbc-11ee-888d-4b414bedee82,d8b05eb1-b20e-4c98-86e3-3492bceb7cfa,2024-03-08,20:24:46.18,2024-03-09,02:24:46.18,2024-03-08T20:24:46.1853784-06:00,2024-03-09T02:24:46.1853784Z,LSU_TIG,XAV_MUS,BallCalled,Undefined,NoShift,62.97275,58.91345,150.05332,26.81519,83.79866,-62.70899,147.35929,-35.50542,269.3555,-110.53262,299.70436,17.08421,223.93515,126.12923,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,49,3d904800-ddbc-11ee-888d-4b414bedee82,a0dc291c-69c9-44c0-80b4-d34ea404a20c,2024-03-08,20:25:04.59,2024-03-09,02:25:04.59,2024-03-08T20:25:04.5936216-06:00,2024-03-09T02:25:04.5936216Z,LSU_TIG,XAV_MUS,FoulBallNotFieldable,Undefined,NoShift,62.953,58.55938,149.33228,25.88731,84.16593,-63.23249,147.18396,-37.20686,269.87004,-111.0516,301.78031,18.31387,222.51369,126.67242,,,,,,,,,,,,,,,true
74e7e038-6661-4805-bd34-770bde654bf7,50,4c5dcd30-ddbc-11ee-888d-4b414bedee82,618d129a-6b9c-43ae-bc35-6f88255b623a,2024-03-08,20:25:29.36,2024-03-09,02:25:29.36,2024-03-08T20:25:29.3654104-06:00,2024-03-09T02:25:29.3654104Z,LSU_TIG,XAV_MUS,StrikeSwinging,Undefined,NoShift,63.25534,58.35686,147.66649,38.96719,85.8328,-65.67431,147.34918,-31.47144,268.98291,-105.54829,294.48523,22.92532,213.69798,126.9663,,,,,,,,,,,,,,,true
