GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
e1f3f056-a249-4198-b054-f1fbf04777c7,1,0f22f300-dca4-11ee-8972-fdf50335b8f7,fc967c15-259b-434d-9b24-a7779eb72382,2024-03-07,10:59:27.67,2024-03-07,16:59:27.67,2024-03-07T10:59:27.6790000-06:00,2024-03-07T16:59:27.6790000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,235.89255,-166.35024,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,2,18c169a0-dca4-11ee-8972-fdf50335b8f7,213008b4-c388-4c75-b4dc-ba5944220e86,2024-03-07,10:59:43.80,2024-03-07,16:59:43.80,2024-03-07T10:59:43.8070000-06:00,2024-03-07T16:59:43.8070000Z,AUB_TIG,AUB_PRC,StrikeCalled,Undefined,NoShift,,,,,,,,,235.66757,-161.32721,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,3,26a8fba0-dca4-11ee-8972-fdf50335b8f7,70797c9a-6598-42eb-8075-b62164a7dad3,2024-03-07,11:00:07.06,2024-03-07,17:00:07.06,2024-03-07T11:00:07.0640000-06:00,2024-03-07T17:00:07.0640000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,241.93262,-158.90446,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,4,30b7c040-dca4-11ee-8972-fdf50335b8f7,856f3c72-7330-4196-9443-3ee2bf4e44a9,2024-03-07,11:00:23.96,2024-03-07,17:00:23.96,2024-03-07T11:00:23.9660000-06:00,2024-03-07T17:00:23.9660000Z,AUB_TIG,AUB_PRC,FoulBallNotFieldable,Undefined,NoShift,,,,,,,,,240.93679,-158.66734,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,5,44f2bc90-dca4-11ee-8972-fdf50335b8f7,5954f837-f0cd-42e3-8905-a983643b68c7,2024-03-07,11:00:57.96,2024-03-07,17:00:57.96,2024-03-07T11:00:57.9660000-06:00,2024-03-07T17:00:57.9660000Z,AUB_TIG,AUB_PRC,InPlay,Undefined,NoShift,,,,,,,,,246.13333,-152.92185,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,6,55e91530-dca4-11ee-8972-fdf50335b8f7,263a2fef-3c85-46f0-b2d5-b3d145339ee2,2024-03-07,11:01:26.39,2024-03-07,17:01:26.39,2024-03-07T11:01:26.3930000-06:00,2024-03-07T17:01:26.3930000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,247.28358,-152.14422,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,7,6066c840-dca4-11ee-8972-fdf50335b8f7,1961cb4e-31ee-454b-a06b-93a2c3a4e3b6,2024-03-07,11:01:44.02,2024-03-07,17:01:44.02,2024-03-07T11:01:44.0240000-06:00,2024-03-07T17:01:44.0240000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,246.16906,-149.52904,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,8,6d485bf0-dca4-11ee-8972-fdf50335b8f7,c7baffb9-a9e1-4d41-a5b5-b0e5e6a30a4b,2024-03-07,11:02:05.58,2024-03-07,17:02:05.58,2024-03-07T11:02:05.5860000-06:00,2024-03-07T17:02:05.5860000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,249.30005,-150.45492,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,9,7631da70-dca4-11ee-8972-fdf50335b8f7,dd05913b-9ca6-46b5-a34c-7ae5237014a1,2024-03-07,11:02:20.58,2024-03-07,17:02:20.58,2024-03-07T11:02:20.5840000-06:00,2024-03-07T17:02:20.5840000Z,AUB_TIG,AUB_PRC,StrikeCalled,Undefined,NoShift,,,,,,,,,249.30404,-148.26389,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,10,7fc1f930-dca4-11ee-8972-fdf50335b8f7,698b6932-6e4e-46c1-82cf-e30016c945a5,2024-03-07,11:02:36.58,2024-03-07,17:02:36.58,2024-03-07T11:02:36.5880000-06:00,2024-03-07T17:02:36.5880000Z,AUB_TIG,AUB_PRC,InPlay,Undefined,NoShift,,,,,,,,,251.26075,-146.16674,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,11,91bf3a80-dca4-11ee-8972-fdf50335b8f7,393573e9-ebbd-4def-a1f7-a6ee3040fa7d,2024-03-07,11:03:06.70,2024-03-07,17:03:06.70,2024-03-07T11:03:06.7080000-06:00,2024-03-07T17:03:06.7080000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,RightInfieldShift,,,,,161.50896,-52.68327,,,252.08144,-147.38469,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,12,9d096550-dca4-11ee-8972-fdf50335b8f7,637e60fa-a10a-424c-aef8-4db09a435b13,2024-03-07,11:03:25.74,2024-03-07,17:03:25.74,2024-03-07T11:03:25.7410000-06:00,2024-03-07T17:03:25.7410000Z,AUB_TIG,AUB_PRC,FoulBallNotFieldable,Undefined,NoShift,,,,,,,,,255.6642,-146.04346,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,13,ab19dc10-dca4-11ee-8972-fdf50335b8f7,b3fd7e81-b3f5-4fe1-97a7-576b02b9bc27,2024-03-07,11:03:49.33,2024-03-07,17:03:49.33,2024-03-07T11:03:49.3320000-06:00,2024-03-07T17:03:49.3320000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,254.27234,-143.79279,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,14,b5d53460-dca4-11ee-8972-fdf50335b8f7,369aef54-536d-4ed8-ba59-75c946c28ca7,2024-03-07,11:04:07.29,2024-03-07,17:04:07.29,2024-03-07T11:04:07.2920000-06:00,2024-03-07T17:04:07.2920000Z,AUB_TIG,AUB_PRC,StrikeSwinging,Undefined,NoShift,,,,,,,,,255.33259,-146.80565,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,15,c6523e50-dca4-11ee-8972-fdf50335b8f7,d598fd06-8f12-4693-b35c-1e212b0478fe,2024-03-07,11:04:34.98,2024-03-07,17:04:34.98,2024-03-07T11:04:34.9810000-06:00,2024-03-07T17:04:34.9810000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,260.04032,-138.63651,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,16,d61f5930-dca4-11ee-8972-fdf50335b8f7,97bc8ed0-ea81-498f-aef6-fe0da40b00bc,2024-03-07,11:05:01.50,2024-03-07,17:05:01.50,2024-03-07T11:05:01.5020000-06:00,2024-03-07T17:05:01.5020000Z,AUB_TIG,AUB_PRC,FoulBallNotFieldable,Undefined,NoShift,,,,,,,,,261.04711,-140.25326,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,17,e5c22fc0-dca4-11ee-8972-fdf50335b8f7,a70ab2a4-9bc1-4d34-86bf-b9234e27bd53,2024-03-07,11:05:27.76,2024-03-07,17:05:27.76,2024-03-07T11:05:27.7620000-06:00,2024-03-07T17:05:27.7620000Z,AUB_TIG,AUB_PRC,InPlay,Undefined,NoShift,,,,,,,,,263.07624,-141.6316,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,18,3f874bd0-dca5-11ee-8972-fdf50335b8f7,59fbcfb5-6c7f-4eed-8ca7-241085814455,2024-03-07,11:07:58.33,2024-03-07,17:07:58.33,2024-03-07T11:07:58.3320000-06:00,2024-03-07T17:07:58.3320000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,261.0359,-164.66522,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,19,472b5200-dca5-11ee-8972-fdf50335b8f7,79eedac6-fb0a-4037-8e61-f52555ad317b,2024-03-07,11:08:11.14,2024-03-07,17:08:11.14,2024-03-07T11:08:11.1480000-06:00,2024-03-07T17:08:11.1480000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,20,5099b7f0-dca5-11ee-8972-fdf50335b8f7,26d221ed-4970-4c7a-b910-22a7b52e0a40,2024-03-07,11:08:26.97,2024-03-07,17:08:26.97,2024-03-07T11:08:26.9710000-06:00,2024-03-07T17:08:26.9710000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,21,5985f590-dca5-11ee-8972-fdf50335b8f7,3e20c6f6-9f22-4c22-9628-cb7ad42110fa,2024-03-07,11:08:41.92,2024-03-07,17:08:41.92,2024-03-07T11:08:41.9290000-06:00,2024-03-07T17:08:41.9290000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,268.63289,-162.18753,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,22,66eebaa0-dca5-11ee-8972-fdf50335b8f7,fa0cd7c7-1366-44d5-85df-db6b8051b22d,2024-03-07,11:09:04.46,2024-03-07,17:09:04.46,2024-03-07T11:09:04.4630000-06:00,2024-03-07T17:09:04.4630000Z,AUB_TIG,AUB_PRC,FoulBallNotFieldable,Undefined,NoShift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,23,7303fda0-dca5-11ee-8972-fdf50335b8f7,f70b79e3-41ef-4d44-8902-35bf8e68c171,2024-03-07,11:09:24.67,2024-03-07,17:09:24.67,2024-03-07T11:09:24.6710000-06:00,2024-03-07T17:09:24.6710000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,24,7b538610-dca5-11ee-8972-fdf50335b8f7,d2bc5799-bdf5-41d4-9071-a05139f036c3,2024-03-07,11:09:38.68,2024-03-07,17:09:38.68,2024-03-07T11:09:38.6820000-06:00,2024-03-07T17:09:38.6820000Z,AUB_TIG,AUB_PRC,InPlay,Undefined,NoShift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,25,8737ce00-dca5-11ee-8972-fdf50335b8f7,68a15dde-b198-447b-a679-a675caeb56d7,2024-03-07,11:09:58.52,2024-03-07,17:09:58.52,2024-03-07T11:09:58.5220000-06:00,2024-03-07T17:09:58.5220000Z,AUB_TIG,AUB_PRC,StrikeCalled,Undefined,NoShift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,26,903ac7f0-dca5-11ee-8972-fdf50335b8f7,70fbffa5-ab34-4f9c-aa1e-fdda64859f6a,2024-03-07,11:10:13.62,2024-03-07,17:10:13.62,2024-03-07T11:10:13.6260000-06:00,2024-03-07T17:10:13.6260000Z,AUB_TIG,AUB_PRC,BallCalled,Undefined,NoShift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
e1f3f056-a249-4198-b054-f1fbf04777c7,27,99b589f0-dca5-11ee-8972-fdf50335b8f7,bec13ddb-d11c-4b10-921b-4c558d7ddbf2,2024-03-07,11:10:29.66,2024-03-07,17:10:29.66,2024-03-07T11:10:29.6620000-06:00,2024-03-07T17:10:29.6620000Z,AUB_TIG,AUB_PRC,InPlay,Undefined,NoShift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
